x,y,z,w
0.1522369,0.06800587,-0.2149357,0.9622898
0.1520319,0.06685752,-0.2146181,0.9624736
0.1518356,0.06575843,-0.2143134,0.9626482
0.1516352,0.06463712,-0.2140014,0.9628251
0.1514347,0.06353083,-0.2137183,0.9629931
0.1512461,0.06249004,-0.2134508,0.9631502
0.1511195,0.06144982,-0.2132111,0.9632901
0.151007,0.06043695,-0.2129935,0.96342
0.1509303,0.05947206,-0.2127845,0.9635381
0.150872,0.05847982,-0.2126067,0.9636474
0.1508131,0.05746824,-0.2124476,0.9637524
0.15075,0.05647123,-0.2123068,0.9638522
0.1506841,0.05547303,-0.2121923,0.9639457
0.1506124,0.05444077,-0.2120618,0.9640445
0.1505269,0.05341535,-0.2119192,0.9641466
0.1504141,0.05241126,-0.2117671,0.9642527
0.1502948,0.05143152,-0.2116213,0.964356
0.1501874,0.05052911,-0.2114579,0.9644564
0.1500877,0.04962587,-0.2112629,0.9645615
0.1499981,0.04870939,-0.211107,0.9646563
0.149943,0.04779159,-0.2109199,0.9647516
0.1499232,0.04683075,-0.210719,0.9648458
0.1499344,0.04582296,-0.2105467,0.9649301
0.1499979,0.04480904,-0.2103759,0.965005
0.1500789,0.04380199,-0.210204,0.9650762
0.1501537,0.04279008,-0.2100272,0.9651484
0.1502002,0.04173666,-0.2098249,0.9652313
0.1502349,0.04070952,-0.2096339,0.9653112
0.1502909,0.03970309,-0.209429,0.9653889
0.1503781,0.03869747,-0.2092398,0.9654571
0.1504873,0.03764319,-0.2090529,0.9655223
0.1506152,0.03657172,-0.2088527,0.965587
0.1507688,0.03549382,-0.2086481,0.9656474
0.1509484,0.03439876,-0.2084038,0.9657117
0.1511583,0.03331708,-0.2081467,0.9657723
0.1513734,0.03223344,-0.2078844,0.9658319
0.1515864,0.03119474,-0.2076252,0.9658883
0.1517744,0.03016829,-0.2073745,0.9659452
0.1518991,0.02912229,-0.2071215,0.966012
0.1519832,0.02814954,-0.2068938,0.9660764
0.1520367,0.02719257,-0.20669,0.9661391
0.1520706,0.02619823,-0.2065024,0.9662013
0.152124,0.02517587,-0.2063399,0.9662548
0.1522331,0.02413462,-0.2061692,0.9663006
0.1523904,0.0231062,-0.2060433,0.9663278
0.1525403,0.02209701,-0.2059248,0.9663529
0.1526669,0.02114642,-0.2057603,0.9663894
0.1527765,0.0203002,-0.2056059,0.9664229
0.1528506,0.01945756,-0.2054249,0.9664671
0.1529133,0.01861032,-0.205234,0.9665143
0.1529669,0.01773949,-0.2050205,0.9665676
0.1529997,0.01684373,-0.204795,0.9666262
0.1530239,0.01593443,-0.2045769,0.966684
0.1530615,0.01503837,-0.2043563,0.9667391
0.1531215,0.0141206,-0.2041333,0.9667906
0.1531945,0.01319088,-0.2039222,0.9668366
0.1532727,0.01228935,-0.2037224,0.9668783
0.1533318,0.01144934,-0.2035026,0.9669255
0.1533552,0.01064129,-0.2032627,0.9669815
0.1533243,0.009852179,-0.2029999,0.96705
0.1532522,0.009070078,-0.2027261,0.9671265
0.1531562,0.008275202,-0.2024441,0.9672078
0.1530503,0.007435586,-0.2021797,0.9672868
0.1529417,0.006561266,-0.2019363,0.9673612
0.1528338,0.005666882,-0.2017062,0.9674317
0.1527317,0.004752176,-0.2014948,0.9674968
0.1526296,0.00386756,-0.2012998,0.9675575
0.1525201,0.002971267,-0.2010907,0.9676215
0.1524156,0.002073899,-0.2008815,0.9676837
0.152311,0.001174907,-0.2006618,0.9677472
0.1522083,0.0002569464,-0.2004289,0.9678124
0.1521223,-0.0006029441,-0.2002023,0.9678727
0.1520205,-0.001486478,-0.1999797,0.9679337
0.1518601,-0.002317347,-0.199735,0.9680078
0.1516986,-0.003150942,-0.1995064,0.9680778
0.1515337,-0.00400243,-0.1992647,0.9681504
0.1513036,-0.00485584,-0.1990306,0.9682305
0.1510404,-0.005712396,-0.1988034,0.9683137
0.1507379,-0.00654855,-0.1985848,0.9684003
0.1504092,-0.007435515,-0.1983588,0.9684913
0.1500802,-0.00834772,-0.1981468,0.9685783
0.1497842,-0.009255932,-0.1979328,0.9686597
0.1495254,-0.01018922,-0.1977472,0.9687282
0.149344,-0.01110905,-0.1975721,0.9687818
0.1491649,-0.01202374,-0.1973274,0.9688483
0.1489791,-0.01296579,-0.1971448,0.9689019
0.1487994,-0.01388282,-0.1968842,0.9689698
0.1486102,-0.01484628,-0.1966306,0.9690362
0.1484162,-0.01582921,-0.196422,0.9690926
0.1482213,-0.01682002,-0.1961616,0.9691585
0.1480146,-0.01786329,-0.1959724,0.9692097
0.1478049,-0.01892396,-0.1957381,0.9692689
0.1476564,-0.02002519,-0.1955327,0.9693108
0.1475191,-0.02114939,-0.1953351,0.9693477
0.1473996,-0.02229198,-0.1951125,0.9693851
0.1473021,-0.02348443,-0.1948797,0.9694186
0.1472331,-0.02458723,-0.1946589,0.9694461
0.147157,-0.02580546,-0.194428,0.9694723
0.1471004,-0.02700565,-0.1941616,0.9695016
0.1470418,-0.02816131,-0.193931,0.9695238
0.1469688,-0.02933348,-0.193682,0.9695498
0.1468806,-0.03055419,-0.1934194,0.9695779
0.1467961,-0.03175546,-0.1931799,0.9696
0.1467098,-0.03299151,-0.1929609,0.9696153
